dienststellen_id,offizielle_bezeichnung,abkuerzung,bfs_nummer,verkehrsmittel_abkuerzung,verkehrsmittel_de,verkehrsmittel_fr,verkehrsmittel_it,go_abkuerzung_de,go_abkuerzung_fr,go_abkuerzung_it,e_lv95,n_lv95,e_wgs84,n_wgs84
100,Tavannes,TA,713,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2582049.836999999824911,1229906.621999999973923,7.201645390000000,47.219844660000000
121,Courfaivre,CFV,6729,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2588854.779000000096858,1242701.979999999981374,7.291165740000000,47.335083130000001
103,Sorvilier,SOR,711,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2589942.209600000176579,1232056.897600000025705,7.305793599999999,47.239353829999999
120,Courtételle,CTT,6710,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2590879.958999999798834,1243559.686999999918044,7.317942770000000,47.342829009999996
102,Malleray-Bévilard,MB,717,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2587682.108000000007451,1231990.070999999996275,7.275946270000000,47.238714190000003
138,"Basel, St-Louis Grenze",STLO,2701,TRAM,TRAM,TRAM,TRAM,BLT,BLT,BLT,2610106.879000000189990,1269480.665000000037253,7.572950000000000,47.575949999999999
123,Glovelier,GLO,6729,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2582668.271000000182539,1242730.973999999929219,7.209312769999999,47.335209519999999
141,Courchavon,CCH,6783,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2571261.824000000022352,1254401.375999999931082,7.057645959999999,47.439774400000005
105,Moutier,MOU,700,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2595643.407999999821186,1236643.652000000001863,7.381044300000000,47.280672520000003
122,Bassecourt,BSC,6729,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2585505.492000000085682,1242887.574000000022352,7.246846230000000,47.336686879999995
125,Courgenay,CG,6784,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2576267.074000000022352,1250537.879999999888241,7.124205040000000,47.405226180000000
104,Court,CT,690,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2592692.146000000182539,1232191.489999999990687,7.342109880000001,47.240600919999999
101,Reconvilier,REC,703,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2584006.598000000230968,1231612.441000000108033,7.227417930000001,47.235238330000001
124,St-Ursanne,SU,6808,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2579404.015999999828637,1246354.138000000035390,7.165957049999999,47.367702899999998
144,Buix,BX,6807,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2569196.944000000134110,1258810.209000000031665,7.029967259999999,47.479333260000004
127,Courtemaîche,CTM,6807,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2571099.680999999865890,1256191.682000000029802,7.055380180000000,47.455869180000001
126,Porrentruy,POR,6800,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2572944.253000000026077,1252296.688000000081956,7.080077290000000,47.420916380000001
109,Delémont,DMT,6711,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2593309.757999999914318,1245689.283999999985099,7.350063319999999,47.362012700000001
159,Grenchen Nord,GN,2546,TRAIN,TRAIN,TRAIN,TRAIN,BLS-mlb,BLS-mlb,BLS-mlb,2596285.828000000212342,1226751.246999999973923,7.389618660000000,47.191698209999998
128,Boncourt,BCT,6774,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2568193.717000000178814,1260294.176999999908730,7.016551750000000,47.492631870000004
