dienststellen_id,offizielle_bezeichnung,abkuerzung,bfs_nummer,verkehrsmittel_abkuerzung,verkehrsmittel_de,verkehrsmittel_fr,verkehrsmittel_it,go_abkuerzung_de,go_abkuerzung_fr,go_abkuerzung_it,e_lv95,n_lv95,e_wgs84,n_wgs84
100,Tavannes,TA,713,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2582049.837,1229906.622,7.20164539,47.21984466
121,Courfaivre,CFV,6729,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2588854.779,1242701.98,7.29116574,47.33508313
103,Sorvilier,SOR,711,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2589942.2096,1232056.8976,7.305793599999999,47.23935383
120,Courtételle,CTT,6710,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2590879.959,1243559.687,7.31794277,47.34282901
102,Malleray-Bévilard,MB,717,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2587682.108,1231990.071,7.27594627,47.23871419
138,"Basel, St-Louis Grenze",STLO,2701,TRAM,TRAM,TRAM,TRAM,BLT,BLT,BLT,2610106.879,1269480.665,7.57295,47.57595
123,Glovelier,GLO,6729,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2582668.271,1242730.974,7.209312769999999,47.33520952
141,Courchavon,CCH,6783,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2571261.824,1254401.376,7.057645959999999,47.439774400000005
105,Moutier,MOU,700,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2595643.408,1236643.652,7.3810443,47.28067252
122,Bassecourt,BSC,6729,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2585505.492,1242887.574,7.24684623,47.33668688
125,Courgenay,CG,6784,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2576267.074,1250537.88,7.12420504,47.40522618
104,Court,CT,690,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2592692.146,1232191.49,7.342109880000001,47.24060092
101,Reconvilier,REC,703,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2584006.598,1231612.441,7.227417930000001,47.23523833
124,St-Ursanne,SU,6808,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2579404.016,1246354.138,7.165957049999999,47.3677029
144,Buix,BX,6807,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2569196.944,1258810.209,7.029967259999999,47.47933326
127,Courtemaîche,CTM,6807,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2571099.681,1256191.682,7.05538018,47.45586918
126,Porrentruy,POR,6800,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2572944.253,1252296.688,7.08007729,47.42091638
109,Delémont,DMT,6711,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2593309.758,1245689.284,7.350063319999999,47.3620127
159,Grenchen Nord,GN,2546,TRAIN,TRAIN,TRAIN,TRAIN,BLS-mlb,BLS-mlb,BLS-mlb,2596285.828,1226751.247,7.38961866,47.19169821
128,Boncourt,BCT,6774,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2568193.717,1260294.177,7.01655175,47.49263187
135,Pontenet,PON,717,TRAIN,TRAIN,TRAIN,TRAIN,SBB,CFF,FFS,2586032.476,1232008.656,7.25415926,47.23884832
